,precision,recall,f1-score,support
0,0.9,0.10344827586206896,0.18556701030927836,174.0
1,0.04294478527607362,0.7777777777777778,0.08139534883720931,9.0
accuracy,0.1366120218579235,0.1366120218579235,0.1366120218579235,0.1366120218579235
macro avg,0.4714723926380368,0.44061302681992337,0.13348117957324385,183.0
weighted avg,0.8578497435381675,0.1366120218579235,0.18044381384343885,183.0
