,precision,recall,f1-score,support
0,0.9508196721311475,1.0,0.9747899159663865,174.0
1,0.0,0.0,0.0,9.0
accuracy,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
macro avg,0.47540983606557374,0.5,0.48739495798319327,183.0
weighted avg,0.9040580489115829,0.9508196721311475,0.9268494282959086,183.0
